,Nationality
1687,Guinea
8685,Guinea
5959,Guinea
11641,Guinea
7410,Guinea
1345,Guinea
10706,Guinea
13257,Guinea
14604,Guinea
5243,Guinea
3416,Guinea
10104,Guinea
4333,Guinea
14114,Guinea
16536,Guinea
9954,Guinea
17950,Guinea Bissau
9380,Guinea Bissau
16604,Guinea Bissau
6913,Guinea Bissau
2539,Guinea Bissau
5584,Guinea Bissau
17470,Guinea Bissau
10114,Guinea Bissau
12700,Guinea Bissau
9036,Guinea Bissau
7487,Guinea Bissau
3726,Guinea Bissau
10041,Guinea Bissau
7746,Guinea Bissau
3858,Guinea Bissau
10995,Guinea Bissau
8827,Guinea Bissau
5965,Guinea Bissau
6160,Guinea Bissau
16052,Guinea Bissau
9896,Guinea Bissau
16230,Guinea Bissau
13187,Guinea Bissau
3861,Guinea Bissau
10857,Guyana
12864,Guyana
15527,Guyana
8087,Guyana
10877,Guyana
12364,Guyana
5768,Guyana
11577,Guyana
10465,Guyana
4802,Haiti
16840,Haiti
11810,Haiti
9133,Haiti
17970,Haiti
10084,Haiti
9114,Haiti
5901,Honduras
15948,Honduras
2908,Honduras
11740,Honduras
11741,Honduras
16619,Honduras
6956,Honduras
14308,Honduras
3099,Honduras
12710,Honduras
1750,Honduras
2549,Honduras
4771,Honduras
13490,Honduras
3479,Honduras
16892,Honduras
12627,Hong Kong
12180,Hong Kong
3855,Hong Kong
10603,Hungary
11476,Hungary
6018,Hungary
5278,Hungary
9913,Hungary
15503,Hungary
15699,Hungary
5101,Hungary
14054,Hungary
15487,Hungary
12860,Hungary
5151,Hungary
7720,Hungary
4943,Hungary
4205,Hungary
11341,Hungary
13328,Hungary
1670,Hungary
9575,Hungary
9258,Hungary
3316,Hungary
70,Hungary
6791,Hungary
1746,Hungary
17800,Hungary
6979,Hungary
7922,Hungary
9090,Hungary
4711,Hungary
7611,Hungary
11989,Hungary
6059,Hungary
1377,Hungary
691,Hungary
17402,Hungary
14294,Hungary
14576,Hungary
8502,Hungary
2263,Hungary
6386,Hungary
11618,Hungary
11671,Hungary
8586,Hungary
17016,Hungary
16039,Iceland
9256,Iceland
4334,Iceland
5640,Iceland
6212,Iceland
17701,Iceland
14662,Iceland
6590,Iceland
14449,Iceland
11386,Iceland
11742,Iceland
12747,Iceland
6910,Iceland
10204,Iceland
3352,Iceland
11103,Iceland
12236,Iceland
17998,Iceland
7221,Iceland
10897,Iceland
17223,Iceland
11954,Iceland
1446,Iceland
17264,Iceland
11356,Iceland
2624,Iceland
12916,Iceland
10910,Iceland
3344,Iceland
1661,Iceland
3470,Iceland
5318,Iceland
7881,Iceland
9782,Iceland
16788,Iceland
13574,Iceland
8845,Iceland
3341,Iceland
4315,Iceland
6952,Iceland
16156,Iceland
5064,Iceland
5058,Iceland
9620,Iceland
14627,Iceland
11654,Iceland
13264,Iceland
15747,Iceland
12518,Iceland
9128,Iceland
2231,Iceland
10716,India
14118,India
10639,India
6434,India
11533,India
12492,India
12493,India
10192,India
12494,India
13421,India
12490,India
12491,India
6435,India
8592,India
16138,India
16139,India
5312,India
16141,India
16140,India
12638,India
4499,India
5267,Indonesia
9829,Indonesia
2404,Iran
7645,Iran
8741,Iran
5087,Iran
12602,Iran
10803,Iran
17549,Iran
11997,Iran
12706,Iran
1096,Iran
8858,Iran
16742,Iran
15444,Iran
12810,Iran
5594,Iran
6325,Iran
11396,Iran
10446,Iran
6640,Iran
16120,Iran
16203,Iran
10349,Iran
10410,Iran
1909,Iran
8994,Iran
12046,Iraq
9464,Iraq
11483,Iraq
14188,Iraq
2519,Iraq
15766,Iraq
11959,Israel
14918,Israel
4644,Israel
14517,Israel
578,Israel
13754,Israel
15858,Israel
11457,Israel
8524,Israel
15626,Israel
10067,Israel
8034,Israel
1624,Israel
1883,Israel
9866,Israel
3771,Israel
17399,Israel
12165,Israel
10233,Israel
14648,Israel
9881,Israel
11986,Israel
5636,Israel
10128,Israel
14611,Italy
16584,Italy
13565,Italy
11720,Italy
12717,Italy
14204,Italy
12433,Italy
5540,Italy
10574,Italy
7160,Italy
14279,Italy
13470,Italy
16585,Italy
1721,Italy
14613,Italy
4297,Italy
17331,Italy
5160,Italy
7358,Italy
14781,Italy
10686,Italy
13168,Italy
6010,Italy
10586,Italy
10863,Italy
14041,Italy
12724,Italy
13345,Italy
2479,Italy
6146,Italy
2448,Italy
13560,Italy
8654,Italy
13660,Italy
17107,Italy
12078,Italy
14618,Italy
959,Italy
14809,Italy
6884,Italy
2476,Italy
14271,Italy
13520,Italy
2017,Italy
673,Italy
3380,Italy
12437,Italy
1643,Italy
13114,Italy
12424,Italy
16960,Italy
15602,Italy
2833,Italy
4308,Italy
2993,Italy
17325,Italy
12885,Italy
3789,Italy
10124,Italy
17281,Italy
10942,Italy
10125,Italy
605,Italy
2995,Italy
2136,Italy
2148,Italy
12397,Italy
13513,Italy
14866,Italy
17428,Italy
17673,Italy
14581,Italy
14573,Italy
16025,Italy
6491,Italy
2280,Italy
2512,Italy
13977,Italy
6356,Italy
91,Italy
13969,Italy
17317,Italy
7688,Italy
10652,Italy
11875,Italy
14283,Italy
12761,Italy
14609,Italy
5265,Italy
3728,Italy
16013,Italy
11900,Italy
9815,Italy
2392,Italy
745,Italy
5718,Italy
12873,Italy
6101,Italy
16594,Italy
8342,Italy
7867,Italy
17084,Italy
3164,Italy
8299,Italy
17282,Italy
10119,Italy
3091,Italy
2968,Italy
8344,Italy
1329,Italy
9802,Italy
16897,Italy
30,Italy
16959,Italy
6473,Italy
2446,Italy
6121,Italy
1396,Italy
865,Italy
17099,Italy
14775,Italy
2490,Italy
1481,Italy
9964,Italy
14547,Italy
3177,Italy
7129,Italy
14343,Italy
14525,Italy
863,Italy
6342,Italy
8354,Italy
17046,Italy
13061,Italy
15526,Italy
9005,Italy
7379,Italy
13664,Italy
636,Italy
17398,Italy
1663,Italy
2086,Italy
11496,Italy
10607,Italy
17290,Italy
2337,Italy
4283,Italy
14716,Italy
5611,Italy
6881,Italy
7791,Italy
2395,Italy
7792,Italy
4785,Italy
14528,Italy
8672,Italy
11883,Italy
14146,Italy
6877,Italy
6404,Italy
2492,Italy
11884,Italy
8197,Italy
7440,Italy
6408,Italy
2081,Italy
1856,Italy
6879,Italy
1653,Italy
5284,Italy
4787,Italy
6129,Italy
1157,Italy
1749,Italy
6413,Italy
11503,Italy
14667,Italy
327,Italy
9006,Italy
1376,Italy
14666,Italy
6392,Italy
4513,Italy
7773,Italy
16031,Italy
9984,Italy
14509,Italy
12063,Italy
10805,Italy
6931,Italy
7041,Italy
14059,Italy
10834,Italy
8315,Italy
8188,Italy
1011,Italy
14515,Italy
1339,Italy
12778,Italy
10698,Italy
2076,Italy
4217,Italy
7724,Italy
9903,Italy
17066,Italy
929,Italy
7150,Italy
17052,Italy
1845,Italy
17727,Italy
11730,Italy
12495,Italy
12580,Italy
16622,Italy
17691,Italy
7144,Italy
15914,Italy
17037,Italy
10587,Italy
9885,Italy
1850,Italy
11732,Italy
3670,Italy
2748,Italy
86,Italy
2701,Italy
4409,Italy
3342,Italy
13535,Italy
3098,Italy
16640,Italy
5118,Italy
3412,Italy
15528,Italy
1032,Italy
8337,Italy
11977,Italy
13054,Italy
14172,Italy
14739,Italy
14238,Italy
11879,Italy
5722,Italy
14179,Italy
11736,Italy
11491,Italy
5147,Italy
11735,Italy
9911,Italy
735,Italy
6132,Italy
1012,Italy
6231,Italy
1711,Italy
184,Italy
11863,Italy
8032,Italy
7194,Italy
15154,Italy
11164,Italy
15153,Italy
17373,Italy
15152,Italy
1615,Italy
9172,Italy
15155,Italy
15151,Italy
15150,Italy
17372,Italy
3824,Italy
6773,Italy
12245,Italy
5642,Italy
2026,Italy
3970,Italy
2781,Italy
6184,Italy
6264,Italy
11169,Italy
7566,Italy
15180,Italy
4404,Italy
271,Italy
8413,Italy
8233,Italy
6646,Italy
6707,Italy
8079,Italy
6189,Italy
15177,Italy
15176,Italy
6766,Italy
4035,Italy
983,Italy
3582,Italy
7195,Italy
9236,Italy
7568,Italy
15142,Italy
9478,Italy
5864,Italy
11940,Italy
11408,Italy
14436,Italy
1565,Italy
683,Italy
17796,Italy
7480,Italy
15120,Italy
4650,Italy
11938,Italy
10507,Italy
6275,Italy
4059,Italy
1893,Italy
12990,Italy
9526,Italy
9763,Italy
11123,Italy
4649,Italy
13436,Italy
14433,Italy
6651,Italy
8934,Italy
16256,Italy
17073,Italy
1910,Italy
15139,Italy
16250,Italy
11156,Italy
2134,Italy
4654,Italy
9490,Italy
13451,Italy
9492,Italy
11939,Italy
14423,Italy
5381,Italy
4372,Italy
6269,Italy
13275,Italy
9501,Italy
7573,Italy
2296,Italy
15124,Italy
3829,Italy
15181,Italy
2882,Italy
16145,Italy
3209,Italy
13652,Italy
1585,Italy
13027,Italy
16143,Italy
822,Italy
11649,Italy
11563,Italy
16974,Italy
1139,Italy
388,Italy
13739,Italy
2215,Italy
9345,Italy
1584,Italy
13743,Italy
10461,Italy
10462,Italy
1901,Italy
1583,Italy
13028,Italy
4396,Italy
422,Italy
2542,Italy
11346,Italy
451,Italy
2733,Italy
16190,Italy
16968,Italy
1590,Italy
3602,Italy
262,Italy
13066,Italy
15284,Italy
9315,Italy
11967,Italy
1240,Italy
1239,Italy
13029,Italy
9320,Italy
16971,Italy
11268,Italy
8604,Italy
11358,Italy
4734,Italy
1791,Italy
11208,Italy
841,Italy
11955,Italy
17514,Italy
882,Italy
11951,Italy
16983,Italy
4995,Italy
1942,Italy
2843,Italy
2133,Italy
15190,Italy
17813,Italy
16012,Italy
13272,Italy
11185,Italy
7564,Italy
4382,Italy
10376,Italy
3842,Italy
13646,Italy
9199,Italy
9232,Italy
14393,Italy
14340,Italy
13759,Italy
13649,Italy
13761,Italy
2561,Italy
2844,Italy
13766,Italy
5020,Italy
14333,Italy
16707,Italy
1138,Italy
6202,Italy
3992,Italy
6704,Italy
9202,Italy
144,Italy
3846,Italy
16979,Italy
15406,Italy
11772,Italy
3556,Italy
9669,Italy
9671,Italy
8946,Italy
5338,Italy
914,Italy
16154,Italy
14958,Italy
11609,Italy
12928,Italy
9682,Italy
14957,Italy
579,Italy
14955,Italy
17132,Italy
11000,Italy
10999,Italy
11916,Italy
8181,Italy
6992,Italy
4589,Italy
3645,Italy
14971,Italy
1090,Italy
17484,Italy
9643,Italy
9644,Italy
5372,Italy
5748,Italy
12335,Italy
14341,Italy
12336,Italy
17778,Italy
97,Italy
9653,Italy
198,Italy
1314,Italy
11445,Italy
16095,Italy
14470,Italy
2432,Italy
12340,Italy
4918,Italy
9665,Italy
3299,Italy
3048,Italy
3800,Italy
10270,Italy
14889,Italy
8290,Italy
10963,Italy
16902,Italy
3284,Italy
18032,Italy
13462,Italy
13290,Italy
8293,Italy
5078,Italy
4163,Italy
8294,Italy
13495,Italy
8295,Italy
8296,Italy
11544,Italy
1083,Italy
13964,Italy
10967,Italy
17423,Italy
8289,Italy
14895,Italy
13582,Italy
1126,Italy
9706,Italy
13942,Italy
7925,Italy
2515,Italy
4566,Italy
3797,Italy
7923,Italy
4118,Italy
15997,Italy
13461,Italy
12172,Italy
5707,Italy
17910,Italy
13949,Italy
14481,Italy
678,Italy
2899,Italy
14898,Italy
510,Italy
562,Italy
17314,Italy
4354,Italy
903,Italy
15056,Italy
3954,Italy
9130,Italy
8263,Italy
15052,Italy
17365,Italy
3540,Italy
466,Italy
5054,Italy
4094,Italy
12976,Italy
7179,Italy
12974,Italy
7998,Italy
2196,Italy
905,Italy
6744,Italy
4097,Italy
17367,Italy
3811,Italy
5364,Italy
17532,Italy
4747,Italy
4624,Italy
12269,Italy
6602,Italy
4623,Italy
8408,Italy
8260,Italy
2403,Italy
5632,Italy
8940,Italy
12272,Italy
6745,Italy
8262,Italy
15078,Italy
2697,Italy
12281,Italy
17844,Italy
15628,Italy
15063,Italy
4615,Italy
2315,Italy
15039,Italy
14459,Italy
3643,Italy
4965,Italy
3536,Italy
16100,Italy
15004,Italy
7600,Italy
13484,Italy
9627,Italy
15002,Italy
11699,Italy
15000,Italy
17069,Italy
14999,Italy
9633,Italy
4117,Italy
7174,Italy
13603,Italy
1982,Italy
15006,Italy
12962,Italy
15018,Italy
8755,Italy
1173,Italy
11616,Italy
9604,Italy
10303,Italy
10301,Italy
11425,Italy
8919,Italy
6711,Italy
8640,Ivory Coast
1412,Ivory Coast
7649,Ivory Coast
10604,Ivory Coast
3889,Ivory Coast
5221,Ivory Coast
1659,Ivory Coast
10355,Ivory Coast
10378,Ivory Coast
16018,Ivory Coast
6889,Ivory Coast
13279,Ivory Coast
10309,Ivory Coast
4331,Ivory Coast
7640,Ivory Coast
16623,Ivory Coast
13482,Ivory Coast
680,Ivory Coast
8606,Ivory Coast
3165,Ivory Coast
3379,Ivory Coast
10560,Ivory Coast
14545,Ivory Coast
2376,Ivory Coast
13500,Ivory Coast
4731,Ivory Coast
8643,Ivory Coast
6494,Ivory Coast
9750,Ivory Coast
15713,Ivory Coast
16085,Ivory Coast
16366,Ivory Coast
2071,Ivory Coast
594,Ivory Coast
13968,Ivory Coast
3929,Ivory Coast
758,Ivory Coast
15574,Ivory Coast
13913,Ivory Coast
12345,Ivory Coast
1093,Ivory Coast
1546,Ivory Coast
8266,Ivory Coast
3081,Ivory Coast
16084,Ivory Coast
15924,Ivory Coast
9075,Ivory Coast
11583,Ivory Coast
9859,Ivory Coast
9858,Ivory Coast
2173,Ivory Coast
11478,Ivory Coast
17734,Ivory Coast
10884,Ivory Coast
14025,Ivory Coast
2447,Ivory Coast
4953,Ivory Coast
11723,Ivory Coast
9828,Ivory Coast
90,Ivory Coast
9071,Ivory Coast
2905,Ivory Coast
14843,Ivory Coast
354,Ivory Coast
17360,Ivory Coast
3653,Ivory Coast
3955,Ivory Coast
987,Ivory Coast
11212,Ivory Coast
15643,Ivory Coast
15234,Ivory Coast
9351,Ivory Coast
4015,Ivory Coast
3068,Ivory Coast
7235,Ivory Coast
17814,Ivory Coast
6684,Ivory Coast
6746,Ivory Coast
8177,Ivory Coast
974,Ivory Coast
508,Ivory Coast
17257,Ivory Coast
9259,Ivory Coast
2588,Ivory Coast
4686,Ivory Coast
2033,Ivory Coast
11377,Ivory Coast
11179,Ivory Coast
11099,Ivory Coast
1100,Ivory Coast
12109,Ivory Coast
5881,Ivory Coast
17521,Ivory Coast
18022,Ivory Coast
3145,Ivory Coast
5377,Ivory Coast
11402,Ivory Coast
16841,Ivory Coast
15132,Ivory Coast
2682,Ivory Coast
15140,Ivory Coast
8056,Ivory Coast
2722,Ivory Coast
3693,Ivory Coast
389,Ivory Coast
8017,Ivory Coast
5107,Ivory Coast
11920,Ivory Coast
3161,Ivory Coast
10747,Ivory Coast
1669,Ivory Coast
400,Ivory Coast
16591,Ivory Coast
6425,Ivory Coast
7028,Ivory Coast
11765,Ivory Coast
2820,Ivory Coast
1343,Ivory Coast
4487,Ivory Coast
16041,Ivory Coast
3897,Ivory Coast
12071,Ivory Coast
14177,Ivory Coast
14080,Ivory Coast
2010,Ivory Coast
13134,Ivory Coast
7777,Ivory Coast
399,Ivory Coast
4517,Ivory Coast
7778,Ivory Coast
1704,Ivory Coast
3021,Ivory Coast
15516,Ivory Coast
4220,Ivory Coast
3719,Ivory Coast
12366,Jamaica
8160,Jamaica
6949,Jamaica
3729,Jamaica
4361,Jamaica
15250,Jamaica
1861,Jamaica
7975,Jamaica
9381,Jamaica
11058,Jamaica
7550,Jamaica
9125,Jamaica
1305,Jamaica
5629,Jamaica
4966,Jamaica
5034,Jamaica
7136,Jamaica
4599,Jamaica
17758,Jamaica
2198,Jamaica
14757,Jamaica
2011,Jamaica
5647,Jamaica
3100,Jamaica
12616,Jamaica
4408,Jamaica
3967,Jamaica
129,Jamaica
13065,Jamaica
5559,Jamaica
1734,Jamaica
15047,Jamaica
16402,Jamaica
2142,Jamaica
3747,Jamaica
2509,Jamaica
2925,Jamaica
12133,Japan
13242,Japan
5770,Japan
12220,Japan
5835,Japan
10714,Japan
12227,Japan
17267,Japan
13267,Japan
13075,Japan
2421,Japan
17621,Japan
12214,Japan
175,Japan
5400,Japan
13074,Japan
17297,Japan
1145,Japan
17622,Japan
4848,Japan
17620,Japan
13073,Japan
17608,Japan
5404,Japan
1142,Japan
17303,Japan
10626,Japan
10628,Japan
13248,Japan
10634,Japan
13175,Japan
17623,Japan
10630,Japan
12158,Japan
12157,Japan
10442,Japan
5214,Japan
13258,Japan
13056,Japan
2223,Japan
12656,Japan
2205,Japan
13259,Japan
13064,Japan
6095,Japan
5406,Japan
17265,Japan
5826,Japan
5575,Japan
12688,Japan
2418,Japan
13246,Japan
10623,Japan
13070,Japan
4898,Japan
176,Japan
5573,Japan
13244,Japan
10625,Japan
17302,Japan
17619,Japan
12235,Japan
12611,Japan
4940,Japan
17280,Japan
4904,Japan
12905,Japan
17604,Japan
752,Japan
17189,Japan
1380,Japan
242,Japan
17550,Japan
13234,Japan
4505,Japan
5187,Japan
4503,Japan
12739,Japan
12604,Japan
12093,Japan
17296,Japan
4938,Japan
3159,Japan
14088,Japan
11540,Japan
12856,Japan
12447,Japan
12850,Japan
10828,Japan
12829,Japan
13346,Japan
12823,Japan
17610,Japan
4764,Japan
17300,Japan
5289,Japan
17201,Japan
17202,Japan
17611,Japan
17605,Japan
13335,Japan
12399,Japan
11539,Japan
5290,Japan
1272,Japan
13601,Japan
12501,Japan
13816,Japan
10730,Japan
17269,Japan
2285,Japan
13815,Japan
13250,Japan
10729,Japan
14159,Japan
10503,Japan
17618,Japan
17143,Japan
10726,Japan
5280,Japan
17298,Japan
3090,Japan
13078,Japan
12238,Japan
10731,Japan
10732,Japan
4806,Japan
4501,Japan
12328,Japan
17301,Japan
12315,Japan
4463,Japan
13228,Japan
12298,Japan
10522,Japan
5919,Japan
13602,Japan
4937,Japan
5909,Japan
5908,Japan
10738,Japan
10737,Japan
10510,Japan
10736,Japan
17299,Japan
10735,Japan
10739,Japan
13249,Japan
16730,Japan
16835,Japan
8655,Japan
14909,Japan
8651,Japan
16785,Japan
15779,Japan
15780,Japan
16383,Japan
15781,Japan
8641,Japan
6512,Japan
16376,Japan
16371,Japan
6510,Japan
8628,Japan
3513,Japan
15800,Japan
8608,Japan
15813,Japan
1708,Japan
14874,Japan
7056,Japan
17682,Japan
3741,Japan
2072,Japan
17683,Japan
8656,Japan
17684,Japan
16418,Japan
16423,Japan
8864,Japan
2562,Japan
16521,Japan
3253,Japan
8784,Japan
16907,Japan
16506,Japan
1455,Japan
565,Japan
16474,Japan
16469,Japan
8744,Japan
7348,Japan
16449,Japan
15737,Japan
8699,Japan
2755,Japan
15738,Japan
17772,Japan
17710,Japan
7871,Japan
16432,Japan
15759,Japan
15761,Japan
17902,Japan
10205,Japan
15828,Japan
15829,Japan
15832,Japan
16825,Japan
17698,Japan
10052,Japan
10048,Japan
4249,Japan
3305,Japan
17716,Japan
17702,Japan
17704,Japan
1478,Japan
17715,Japan
9965,Japan
3610,Japan
8235,Japan
16132,Japan
17714,Japan
16134,Japan
17713,Japan
9970,Japan
17707,Japan
9971,Japan
17708,Japan
17712,Japan
17709,Japan
3615,Japan
17697,Japan
3595,Japan
7151,Japan
3663,Japan
15838,Japan
15841,Japan
17687,Japan
16301,Japan
10106,Japan
15855,Japan
16873,Japan
17688,Japan
8531,Japan
8512,Japan
2613,Japan
283,Japan
8868,Japan
8497,Japan
8480,Japan
8454,Japan
16851,Japan
8431,Japan
7264,Japan
17693,Japan
8402,Japan
17694,Japan
7259,Japan
16002,Japan
16836,Japan
9893,Japan
7093,Japan
8869,Japan
16773,Japan
8871,Japan
15200,Japan
7638,Japan
9158,Japan
15395,Japan
6789,Japan
7641,Japan
17075,Japan
8870,Japan
9112,Japan
6627,Japan
4385,Japan
10338,Japan
9507,Japan
6615,Japan
17639,Japan
3902,Japan
8993,Japan
8991,Japan
8990,Japan
8988,Japan
8987,Japan
8986,Japan
17637,Japan
7637,Japan
7636,Japan
7635,Japan
3997,Japan
4013,Japan
15293,Japan
15299,Japan
15300,Japan
15301,Japan
16715,Japan
15302,Japan
15231,Japan
16714,Japan
7495,Japan
15230,Japan
17629,Japan
10395,Japan
6666,Japan
7601,Japan
4389,Japan
16670,Japan
2050,Japan
6664,Japan
7632,Japan
7633,Japan
6662,Japan
8982,Japan
10304,Japan
7644,Japan
8886,Japan
8878,Japan
16545,Japan
10266,Japan
7392,Japan
3200,Japan
2747,Japan
7397,Japan
7398,Japan
16564,Japan
14344,Japan
9535,Japan
17711,Japan
16573,Japan
1868,Japan
1664,Japan
14461,Japan
2809,Kazakhstan
12456,Kazakhstan
5246,Kazakhstan
13928,Kazakhstan
15831,Kenya
6290,Kenya
5368,Kenya
12049,Kenya
10063,Kenya
1899,Kenya
7605,Kenya
15335,Kenya
2884,Kenya
3755,Kenya
17417,Kenya
13270,Kenya
10645,Korea DPR
11394,Korea DPR
5326,Korea DPR
11470,Korea DPR
14722,Korea Republic
4528,Korea Republic
8310,Korea Republic
8880,Korea Republic
4723,Korea Republic
11224,Korea Republic
16053,Korea Republic
3986,Korea Republic
9382,Korea Republic
4536,Korea Republic
13159,Korea Republic
5687,Korea Republic
4988,Korea Republic
11332,Korea Republic
14996,Korea Republic
17239,Korea Republic
12047,Korea Republic
13160,Korea Republic
8996,Korea Republic
13090,Korea Republic
14689,Korea Republic
14690,Korea Republic
820,Korea Republic
11756,Korea Republic
6940,Korea Republic
8216,Korea Republic
4510,Korea Republic
4815,Korea Republic
100,Korea Republic
4105,Korea Republic
4674,Korea Republic
15773,Korea Republic
17207,Korea Republic
13415,Korea Republic
13407,Korea Republic
6934,Korea Republic
15772,Korea Republic
5906,Korea Republic
13077,Korea Republic
14108,Korea Republic
11298,Korea Republic
14997,Korea Republic
14107,Korea Republic
17501,Korea Republic
8242,Korea Republic
15306,Korea Republic
6985,Korea Republic
4252,Korea Republic
15223,Korea Republic
4020,Korea Republic
11032,Korea Republic
11349,Korea Republic
11030,Korea Republic
13522,Korea Republic
9421,Korea Republic
9117,Korea Republic
15827,Korea Republic
11172,Korea Republic
13986,Korea Republic
9444,Korea Republic
11830,Korea Republic
13985,Korea Republic
11439,Korea Republic
9105,Korea Republic
4633,Korea Republic
13912,Korea Republic
9486,Korea Republic
15811,Korea Republic
5592,Korea Republic
17225,Korea Republic
13960,Korea Republic
4917,Korea Republic
5599,Korea Republic
13919,Korea Republic
8953,Korea Republic
17764,Korea Republic
11541,Korea Republic
8992,Korea Republic
17769,Korea Republic
2377,Korea Republic
17960,Korea Republic
6477,Korea Republic
13252,Korea Republic
11985,Korea Republic
3680,Korea Republic
2798,Korea Republic
13176,Korea Republic
4024,Korea Republic
13896,Korea Republic
5529,Korea Republic
16858,Korea Republic
11930,Korea Republic
285,Korea Republic
15098,Korea Republic
5609,Korea Republic
13910,Korea Republic
11027,Korea Republic
9825,Korea Republic
5902,Korea Republic
11367,Korea Republic
17545,Korea Republic
1262,Korea Republic
3782,Korea Republic
15850,Korea Republic
13235,Korea Republic
11016,Korea Republic
6786,Korea Republic
8705,Korea Republic
13251,Korea Republic
7092,Korea Republic
8974,Korea Republic
10088,Korea Republic
5286,Korea Republic
16273,Korea Republic
4484,Korea Republic
12262,Korea Republic
17612,Korea Republic
18021,Korea Republic
16805,Korea Republic
4488,Korea Republic
16238,Korea Republic
12233,Korea Republic
12230,Korea Republic
7615,Korea Republic
6251,Korea Republic
5397,Korea Republic
14477,Korea Republic
17696,Korea Republic
2469,Korea Republic
14645,Korea Republic
12620,Korea Republic
12831,Korea Republic
5112,Korea Republic
12623,Korea Republic
10244,Korea Republic
12738,Korea Republic
5085,Korea Republic
1875,Korea Republic
7320,Korea Republic
10167,Korea Republic
17672,Korea Republic
7857,Korea Republic
6288,Korea Republic
14223,Korea Republic
14222,Korea Republic
6143,Korea Republic
10532,Korea Republic
14221,Korea Republic
10647,Korea Republic
10533,Korea Republic
17597,Korea Republic
17272,Korea Republic
4420,Korea Republic
7989,Korea Republic
16566,Korea Republic
7646,Korea Republic
10051,Korea Republic
14261,Korea Republic
18074,Korea Republic
16185,Korea Republic
16726,Korea Republic
17624,Korea Republic
18075,Korea Republic
12822,Korea Republic
3356,Korea Republic
8185,Korea Republic
17045,Korea Republic
4310,Kosovo
10319,Kosovo
4600,Kosovo
9937,Kosovo
7245,Kosovo
14687,Kosovo
10382,Kosovo
17121,Kosovo
12276,Kosovo
12952,Kosovo
2776,Kosovo
14100,Kosovo
6067,Kosovo
2931,Kosovo
3114,Kosovo
8913,Kosovo
1556,Kosovo
1616,Kosovo
13891,Kosovo
5375,Kosovo
10086,Kosovo
15675,Kosovo
4559,Kosovo
3727,Kosovo
9362,Kosovo
2856,Kosovo
13214,Kosovo
14941,Kosovo
1830,Kosovo
8688,Kosovo
14334,Kosovo
5465,Kosovo
14119,Kosovo
5329,Kosovo
3596,Kosovo
16167,Kosovo
8112,Kosovo
308,Kosovo
17149,Kyrgyzstan
10081,Latvia
11663,Latvia
14366,Latvia
17180,Latvia
13261,Latvia
9587,Latvia
8573,Latvia
6478,Latvia
13990,Lebanon
10861,Liberia
10820,Liberia
16437,Liberia
8682,Liberia
6114,Libya
2819,Libya
9220,Libya
3649,Libya
14319,Liechtenstein
14306,Liechtenstein
15672,Liechtenstein
10248,Lithuania
15131,Lithuania
15295,Lithuania
8142,Lithuania
5421,Lithuania
5452,Lithuania
6860,Lithuania
14490,Luxembourg
5249,Luxembourg
5082,Luxembourg
2877,Luxembourg
11074,Luxembourg
9418,Luxembourg
3027,Luxembourg
12465,Luxembourg
5399,Luxembourg
1939,Luxembourg
10225,Macau
17117,Madagascar
4754,Madagascar
6035,Madagascar
14451,Madagascar
6256,Madagascar
17090,Madagascar
11087,Malawi
7308,Malaysia
9973,Mali
5744,Mali
5283,Mali
1817,Mali
8959,Mali
4879,Mali
3396,Mali
4887,Mali
8663,Mali
14961,Mali
12896,Mali
3498,Mali
726,Mali
12144,Mali
3904,Mali
7944,Mali
13597,Mali
2621,Mali
11799,Mali
1935,Mali
1633,Mali
8207,Mali
8598,Mali
12870,Mali
8936,Mali
17821,Mali
3395,Mali
14320,Mali
10073,Mali
12968,Mali
5781,Mali
6580,Mali
3205,Mali
3980,Mali
9617,Mali
6751,Mali
1435,Mali
8381,Mali
7135,Mali
12603,Mali
12041,Mali
16028,Mali
3295,Mali
6296,Mali
12617,Mali
2410,Mali
4721,Mali
9377,Mali
111,Mali
8126,Mali
3415,Mali
10274,Mali
7193,Mali
10869,Mali
13167,Mali
843,Mali
6987,Mali
9409,Mali
3959,Mali
8004,Mali
8019,Mali
10089,Mali
3069,Mali
5169,Mali
12660,Mali
14646,Malta
7929,Malta
6525,Mauritania
11988,Mauritania
15666,Mauritania
10977,Mauritania
15500,Mauritania
2038,Mauritania
15233,Mauritania
10339,Mauritania
14353,Mauritius
17199,Mexico
5685,Mexico
2393,Mexico
1026,Mexico
3240,Mexico
16547,Mexico
3413,Mexico
6904,Mexico
8928,Mexico
2647,Mexico
15582,Mexico
11524,Mexico
11580,Mexico
11600,Mexico
12529,Mexico
4803,Mexico
3242,Mexico
12528,Mexico
15606,Mexico
15605,Mexico
5279,Mexico
11525,Mexico
463,Mexico
6924,Mexico
16549,Mexico
1059,Mexico
11601,Mexico
8925,Mexico
5430,Mexico
16608,Mexico
13663,Mexico
9252,Mexico
1896,Mexico
1604,Mexico
7606,Mexico
9217,Mexico
12587,Mexico
12582,Mexico
9205,Mexico
11370,Mexico
15354,Mexico
15365,Mexico
9191,Mexico
9186,Mexico
9185,Mexico
17830,Mexico
4710,Mexico
15313,Mexico
15312,Mexico
7510,Mexico
6698,Mexico
16727,Mexico
17826,Mexico
12670,Mexico
4696,Mexico
6701,Mexico
15375,Mexico
11283,Mexico
11288,Mexico
7504,Mexico
